Mail,Annotator 1,Annotator 2
"I wanted to send you some money for your upcoming expenses. Could you please share your bank account details, including the account number and IFSC code, so I can make the transfer? Let me know if there’s anything else you need.",0,0
Top job opportunities await you! Apply now for roles like CA Fresher at KPMG or Graduate Recruitment at BMC. Effortless job hunting with auto-apply—be the first to secure your dream job. Don't wait—start applying today,1,0
Final Reminder! Your special discount code expires tonight. Redeem it now to save on your purchase and enjoy additional perks. Don’t miss this final chance to save!,1,1
The updated project files are attached for your review. Feel free to reach out if you have any questions or need further clarifications.,0,0
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
"Hey, ready to go from 99 to 100 in your career? Unlock Unstop Pro for ₹11,000 or get 40% off with code UNSTOP40! Access expert courses, coding sprints, masterclasses, and interview prep. Skip ahead of the competition—explore now!",1,1
Your medical test results are now available. Log in to the health portal securely to access the details and consult your physician if needed.,0,0
"We are thrilled to share the latest features added to our platform, including advanced analytics and custom dashboards. Log in to your account today to explore these updates and optimize your experience.",0,0
This is a follow-up on your query regarding our services. Attached is a detailed response to help you understand the process better.,0,0
Please note the change in venue for tomorrow’s meeting. Updated details have been attached for your convenience.,0,0
"Congratulations! You’ve won a $1,000 gift card, and it’s ready to be claimed. Click here to provide your details and unlock your reward instantly. Don’t wait—offer valid for a limited time only!",1,1
"Sharpen your data science skills with Strata Scratch’s new coding interview questions! Explore fresh challenges from top companies like Meta, IBM, and Deloitte. Solve real-world SQL problems like ranking top-performing posts and more. Test your skills today—Don't miss out!",1,1
"Dear Customer, please find your invoice attached. Ensure immediate payment to avoid penalties. [Download Invoice]",1,1
Claim $300 in AWS credits now! Apply today to jumpstart your proof of concept and bring your business ideas to life. Don't wait—credits are limited. Apply and start testing on AWS!,1,1
"Unlock the power of VHDL and real-time data acquisition with Digilent! Learn basics, explore professional tools like the MCC USB-200 Series, and save 20% on exclusive deals from Nov 4–8. Don't miss out—sign up now!",1,1
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
"Unmatched Prices! Save more with our one-day-only sale on clothing, accessories, and shoes. Don’t miss out—shop now and enjoy unbeatable offers on top brands.",1,1
Thank you for applying to our organization. We are currently reviewing your application and will be in touch soon with the next steps.,0,0
Thank you for your recent purchase! Your order has been shipped and should arrive within 5-7 business days. Track your order in the attached link.,0,0
"The quarterly performance review is complete, and we have compiled personalized feedback for each team member. Please review the attached document and feel free to reach out with any questions or clarifications.",0,0
"Enroll at Amity University for 2024! Join a top research-driven institution with 373 patents, 450 funded projects, 35,000+ published papers, and cutting-edge facilities. Complete your application today and shape your future!",1,1
"This email confirms your registration for the upcoming webinar on data analytics. The event will cover the latest trends, tools, and strategies in the field. The access link and additional resources are attached below for your reference.",0,0
Push Limits. Break Barriers.Download the Reebok App now and get an extra 10% off on your first app purchase using code RBK APP10. Don't miss out—shop today!,1,1
"Your travel itinerary has been finalized and is attached to this email. It includes flight details, hotel reservations, and contact information. Please review the document and let us know if any adjustments are needed prior to your departure.",0,0
"Your ticket for the concert this weekend has been confirmed. Please find the e-ticket attached to this email, along with instructions for entry. We hope you enjoy the event and have an unforgettable experience!",0,0
"This is a reminder about the team meeting scheduled for Friday at 3 PM in the main conference room. The agenda will cover project updates, upcoming deadlines, and team feedback. Please make sure to prepare any points you’d like to discuss.",0,0
Discover the secret to better health with our herbal supplements designed for wellness. Improve your energy levels and overall health naturally. Order now for a healthier and happier you!,1,1
We’re conducting a survey to improve our services and would love to hear your thoughts. Please take a few minutes to share your feedback using the link below. Your input is invaluable to us!,0,1
"You are eligible for a tax refund of $1,200. Click on the link below and fill out the form to receive your refund.",1,1
"Dare to check your Half-Yearly Rank on Unstop? See where you stand, flex your growth on social media, and plan your comeback with 1,30,000+ opportunities waiting for you. Check your rank now and #BeUnstoppable!",1,1
"“Master algorithms and ace your interviews with Strata Scratch! Learn data structuring essentials, Big O Notation with a cheat sheet, and top data structure interview questions. Stay ahead with cutting-edge articles on AI, LLMs, and cybersecurity. Explore now!”",1,0
"Stand out in the booming tech job market! With a 55% surge in demand for Data Science, AI, and Cloud Computing professionals, now’s the time to upskill. Enroll in JAIN Online MCA Degree program and future-proof your career. Learn more today!",1,1
"Registration for the upcoming coding workshop is now open! Seats are limited, so reserve your spot at the earliest. This is a great opportunity to enhance your skills.",0,0
"Unlock the power of AI and Data Science! Join the Worcester Polytechnic Institute masterclass on Nov 19 to explore cutting-edge AI developments, real-world applications, and innovation across industries. Exclusive perks include fee waivers and scholarships worth $3.5M. Don't miss out—register now!",1,1
Your account has been compromised. Click here to reset your password now to avoid unauthorized access.,1,1
"We’ve received your feedback on the latest design iteration, and our team is already working on implementing your suggestions. Thank you for your input—it’s greatly appreciated and helps us refine the final product. Stay tuned for the updated version.",0,0
This is a follow-up to our recent discussion about the proposal. We’d appreciate it if you could provide your input by the end of the week. Let us know if you need any additional details.,0,0
"Don't miss the Biggest Off-Campus Hiring Drive! Apply for tech and non-tech roles with 800+ top brands like Airtel, EY, and Tata. CTC up to INR 30 LPA and stipends up to INR 70,000/month. Deadline: Nov 30—Apply now!",1,1
"Get 10% extra value on your Apple ID top-up this Deepavali! Add ₹2,000 or more with HDFC NetBanking and unlock more apps, music, and movies. Offer ends soon—Don't miss out!",1,1
"Light up your Diwali with Reebok! Shop limited editions, find your favorites, or grab a gift card. Download the Reebok App now and enjoy an extra 10% off on your first purchase with code RBK APP10. Shop today!",1,1
Thank you for your recent order! Your package is on its way and should arrive within the estimated delivery window. Track your shipment using the link provided and contact us if you have any concerns.,0,0
"Registration for the upcoming coding workshop is now open! Seats are limited, so reserve your spot at the earliest. This is a great opportunity to enhance your skills.",0,0
The recording of the recent training session is now available. Access it through the provided link and stay updated with the latest guidelines.,0,0
"Dreaming of studying in Germany? Join our online session on Nov 5th at 5 PM to explore visa processes, job opportunities, and more! Get expert insights and tips to kickstart your journey. Register now!",1,1
Don't miss out on our Early Black Friday Sale! Seize the moment and grab incredible deals before they're gone. Shop now and save big!,1,1
Your bank account statement for the month is ready. Log in securely to your account dashboard to view or download it.,0,0
We are delighted to announce the new course offerings for the upcoming semester. These courses are designed to provide in-depth knowledge and hands-on experience. Details and enrollment instructions are available in the attached brochure.,0,1
"Your application for the summer internship has been successfully received. Our team is reviewing it, and we’ll get back to you within two weeks with the next steps. Thank you for your interest in joining us!",0,0
Thank you for your recent purchase! Your order has been shipped and should arrive within 5-7 business days. Track your order in the attached link.,0,0
Find your dream car with our exclusive offers on pre-owned vehicles from trusted dealers. Get top-quality cars at unbeatable prices—click here to explore our collection.,1,1
Your subscription to our newsletter has been activated successfully. Expect exciting updates and exclusive deals delivered to your inbox soon.,0,0
Start your journey to wealth with our exclusive investment tips and strategies. Unlock the secrets to financial freedom and secure your future today. Sign up for free and get started now!,1,1
The recording of the recent training session is now available. Access it through the provided link and stay updated with the latest guidelines.,0,0
"Don't miss out! The SEED Scholarship deadline has been extended to November 30, 2024. Apply now to secure funding for your study abroad dreams at top universities worldwide. Boost your chances with SEED Masterclasses—act fast",1,1
Your delivery receipt is ready for your most recent order. Please find the details in the attached document and confirm receipt. Reach out if you require any further assistance.,1,1
We’re excited to share the latest updates to our product. Check out the improvements and new features by logging into your account.,0,0
"Did you crush it on Unstop? Check your Half-Yearly Rank and see how you stack up against 7,00,000+ participants! Don't forget to tag your friends and show off your efforts. Check your rank now! #BeUnstoppable",1,1
"Hi, enhance your confidence and attractiveness with our triple-blend pheromone formula! Proven to boost appeal by 1,000%, as featured in CNN studies. Explore the undeniable power of scent and its effects on human interactions. Don't wait—discover your new charm today!",1,1
Your account has been flagged for suspicious activity. Verify your login credentials immediately to prevent account suspension.,1,1
Here are the minutes from yesterday’s meeting. Review them and let us know if any corrections or additions are necessary.,0,0
Important: Your payment confirmation is attached to this message. Review the attached file and verify the details to ensure everything is correct. Contact support if needed.,1,0
"Dear, Don't miss your chance to earn up to a 100% scholarship with CUCET! Complete your profile now to unlock maximum early bird benefits. Hurry, take the next step toward your future today!",1,1
"Hi, PWC is hiring Data Analysts with a salary of INR 13 LPA! Don't miss the chance to work with top companies like Amazon, Microsoft, and more. Prepare for FREE with our 5-day interview prep. Apply now!",1,1
Elevate your style with the best of AJIO! Discover top picks curated just for you and upgrade your wardrobe effortlessly. Shop now and redefine your style game!,1,1
Thank you for your hard work this month! Here’s a summary of our team’s performance and goals for next month. Let’s continue striving for excellence together.,0,0
"Claim your $10,000 prize by providing your bank account details now. Act fast, this offer expires in 24 hours!",1,1
Thank you for your recent purchase! Your order has been shipped and should arrive within 5-7 business days. Track your order in the attached link.,0,0
You’ve been selected for a once-in-a-lifetime deal available only to our premium customers. Learn more about this exclusive offer by clicking the link below. Time-sensitive—act fast!,1,1
"Dear valued customer, we noticed a recent transaction on your account, and the invoice is attached for your reference. If you find any discrepancies or have questions, please contact our support team immediately to resolve the issue. Thank you for your prompt attention!",1,1
"Your travel itinerary has been confirmed. Please find the details attached, and let us know if any changes are required.",0,0
Secure your financial future with our guaranteed investment plans offering high returns. Sign up today for free and start building wealth with expert advice. Don’t miss this opportunity!,1,1
"Hi, Clinically is hiring Front-End Developer Interns! Earn a stipend of INR 70,000/month while working on cutting-edge web and mobile designs. Brush up your skills with 10 FREE AI/ML projects. Apply now and kickstart your career!",1,1
"Thank you for reaching out to our support team. Your query has been logged, and one of our representatives will respond within 24 hours. In the meantime, feel free to review our FAQ section for quick solutions.",0,0
"Exclusive Sale! Buy one, get two free on select items this weekend only. Stock is limited, so grab your favorites now before they’re gone. Don’t miss this once-in-a-season offer!",1,1
Please note the change in venue for tomorrow’s meeting. Updated details have been attached for your convenience.,0,0
Your medical test results are now available. Log in to the health portal securely to access the details and consult your physician if needed.,0,0
Secure your financial future with our guaranteed investment plans offering high returns. Sign up today for free and start building wealth with expert advice. Don’t miss this opportunity!,1,1
"This is a friendly reminder that the submission deadline for Homework 2 is fast approaching. Please make sure to upload your completed assignment to the portal by 11:59 PM this Friday. Late submissions may incur penalties, so plan your time accordingly. If you have any questions or need clarification, feel free to reach out during office hours or via email.
",0,0
"Tick-Tock! Don't miss out! Play MotorLeague now to win Motorola phones signed by Kriti Sanon. Hurry, last few days left—WIN BIG today!",1,1
This is a gentle reminder to submit your assignments by the end of the week. Timely submission will ensure they are evaluated on time.,0,0
"Your account has been flagged for suspicious activity, and action is required immediately. Verify your details by clicking the link below to prevent suspension. Protect your account now!",1,1
"Hi, your package is ready for delivery! To ensure smooth processing, please review the attached document for shipping details and confirm your address. Act quickly to avoid delays in receiving your order. If you have any questions, feel free to contact our support team. Thank you for choosing our service!",1,1
"Grab up to 90% off on products you Don't want to miss! From electronics to home decor, everything must go! Limited time only. Click here to shop now!",1,1
Here are the minutes from yesterday’s meeting. Review them and let us know if any corrections or additions are necessary.,0,0
"Your travel itinerary has been confirmed. Please find the details attached, and let us know if any changes are required.",0,0
"Online Exclusive! Get an extra 60% off clearance at Gap Factory. Shop for Women, Men, Kids, and more. Don't miss out—this deal won't last long. Shop now!",1,1
Immediate Action Required! Your payment information needs to be updated to avoid service interruptions. Click below to update your details securely before it’s too late.,1,1
"Run, dodge, and win big! Join MotorLeague to grab Motorola phones signed by Kriti Sanon. Compete now and claim your chance to win exclusive Pantone-curated phones. PLAY NOW!",1,1
"You are eligible for a tax refund of $1,200. Click on the link below and fill out the form to receive your refund.",1,1
Please find attached the agenda for our upcoming quarterly meeting. Review it and let us know if any changes are required before Friday. Your feedback is important to finalize the schedule.,0,0
The updated project files are attached for your review. Feel free to reach out if you have any questions or need further clarifications.,0,0
Your invoice for the recent transaction is attached to this email. Please review it and contact us immediately if you notice any discrepancies. Download the attachment now for details.,1,0
We’ve updated our privacy policy to reflect recent changes. Please review the attached document for a summary of key updates.,0,0
"Your delivery has been dispatched and is expected to arrive by Tuesday. You can track your package using the link provided in this email. If you have any issues with the delivery, please contact our customer support team for assistance.",0,0
"We’ve updated our app with new features to enhance your experience, including faster navigation and personalized recommendations. Update now through your app store and explore all the exciting improvements!",0,0
Thank you for applying to our organization. We are currently reviewing your application and will be in touch soon with the next steps.,0,0
Still struggling to shed those extra pounds? Join our 6-week shred program now and tone up this fall! Book your free orientation call today and discover secrets to getting shredded. Don't miss out—act now!,1,1
Boost your career with SRM’s Online MCA Program! Unlock tech leadership opportunities and elevate your prospects with a cutting-edge curriculum. Learn more and apply today—Don't wait!,1,1
Don’t miss out! Be the first to access our exclusive VIP sale with discounts up to 70%. Limited-time offers available only for a select group of customers.,1,1
"This is a reminder about the team meeting scheduled for Friday at 3 PM in the main conference room. The agenda will cover project updates, upcoming deadlines, and team feedback. Please make sure to prepare any points you’d like to discuss.",0,0
12-Hour Happiness Sale! Get EVERYTHING for just ₹499! Limited time—BUY NOW before 11:59 PM and enjoy free shipping and COD!,1,1
"Planning to study in Germany? Don't miss our session on Nov 5th at 5 PM! Learn about visa processes, job opportunities, and university resources. Get expert tips from Mr. Sivasankar R. Register now and take your first step toward studying abroad!",1,1
"We detected suspicious activity on your account. To secure your account, click this link and provide your login details immediately",1,1
Just a reminder about the scheduled coffee catch-up tomorrow at 10 AM. Let me know if you need to reschedule. Looking forward to catching up!,0,0
"Your scheduled maintenance request has been confirmed. Our service team will arrive between 10 AM and 12 PM on the selected date. If you need to reschedule or provide additional instructions, please let us know in advance.",0,0
Don't miss the Global University Fair in Delhi on 23rd November 2024! Explore study opportunities abroad and learn how post-study work visas can enhance your career. Meet university representatives and build a global future—register now!,1,1
"You’re eligible for a tax refund of $1,200. Submit your information through the secure link provided below to receive your refund. Act quickly—this offer expires soon!",1,1
Unbelievable Discounts! Get up to 90% off on all products across our store. This is your chance to shop the best deals ever. Act now before the offer expires—time is running out!,1,1
Unlock lifetime access to AI-powered SEO tools and save 25% forever! Use code INK25 now—Don't miss out on transforming your content strategy with cutting-edge AI!,1,1
We’ve updated our privacy policy to reflect recent changes. Please review the attached document for a summary of key updates.,0,0
Thank you for your hard work this month! Here’s a summary of our team’s performance and goals for next month. Let’s continue striving for excellence together.,0,0
"We’ve received your feedback on the latest design iteration, and our team is already working on implementing your suggestions. Thank you for your input—it’s greatly appreciated and helps us refine the final product. Stay tuned for the updated version.",0,0
Please find attached the agenda for our upcoming quarterly meeting. Review it and let us know if any changes are required before Friday. Your feedback is important to finalize the schedule.,0,0
Act Now! This exclusive offer expires in just 12 hours. Don’t miss your chance to save big on our best-selling products. Click here to take advantage of this deal while it lasts!,1,1
Your account has been compromised. Click here to reset your password now to avoid unauthorized access.,1,1
Registration for the annual tech symposium is now open! Join us for this exciting event to explore cutting-edge innovations and network with industry leaders. Early bird registration discounts are available—secure your spot today.,0,0
Your bank account statement for the month is ready. Log in securely to your account dashboard to view or download it.,0,0
"This email confirms your registration for the upcoming webinar on data analytics. The event will cover the latest trends, tools, and strategies in the field. The access link and additional resources are attached below for your reference.",0,0
We are excited to announce the upcoming parent-teacher meeting scheduled for next Friday. Please RSVP using the attached form.,0,0
ust a quick reminder about our family gathering this Sunday at 4 PM at Grandma’s place. Please let me know if you’ll be bringing anything for the potluck or if you need directions. Looking forward to seeing you all there,0,0
This is a follow-up to our recent discussion about the proposal. We’d appreciate it if you could provide your input by the end of the week. Let us know if you need any additional details.,0,0
"You are eligible for a tax refund of $1,200. Click on the link below and fill out the form to receive your refund.",1,1
The updated project files are attached for your review. Feel free to reach out if you have any questions or need further clarifications.,0,0
Please find attached the agenda for our upcoming quarterly meeting. Review it and let us know if any changes are required before Friday. Your feedback is important to finalize the schedule.,0,0
"your monthly bank statement has been generated and is ready for review. To access the full details of your recent transactions, please download the attached file. If you notice any discrepancies or have questions, contact us immediately. Secure your financial records now—download your statement today!",1,0
This is a follow-up on your query regarding our services. Attached is a detailed response to help you understand the process better.,0,0
"Work from home and earn $5,000 monthly with our flexible job opportunities. No special skills needed—just a willingness to succeed. Apply today and start earning within days!",1,1
"Please find the updated project timeline attached, which includes key milestones and deadlines. Review it carefully and let us know if there are any conflicts with your schedule before the end of the week. Your feedback is critical to ensure a smooth workflow.",0,0
"Protect your job search! Beware of fake job offers asking for money, personal information, or promising unrealistic salaries. Stay safe: research recruiters and companies, avoid sharing sensitive details, and report suspicious activities. Visit our Security Center for tips!",1,1
"Your travel itinerary has been confirmed. Please find the details attached, and let us know if any changes are required.",0,0
"Please find the updated project timeline attached, which includes key milestones and deadlines. Review it carefully and let us know if there are any conflicts with your schedule before the end of the week. Your feedback is critical to ensure a smooth workflow.",0,0
"Thank you for subscribing to our newsletter! Expect regular updates, exclusive offers, and insights into our latest products and services delivered straight to your inbox. We’re excited to keep you informed and engaged.",0,0
"Hi, we noticed an issue with your recent transaction. Please review the attached document for further details.",1,1
"The recording of the latest product demonstration is now available for your review. Access it through the provided link, and let us know if you have any questions about the features or functionalities covered in the session.",0,0
"Exclusive job opportunities await you! Apply now to top roles like Entry-Level Recruiter, AI Evaluator, and more. Activate auto-apply for effortless job hunting and be the first to submit. Don't miss your next career move—start today!",1,1
Just a reminder about the scheduled coffee catch-up tomorrow at 10 AM. Let me know if you need to reschedule. Looking forward to catching up!,0,0
"Your bank account statement for this month is now ready. You can securely log in to your account portal to view or download the detailed transaction records. If you have any concerns, our support team is available to assist.",0,0
"Massive Clearance Sale! Everything must go with discounts up to 70%. Browse through thousands of items and find incredible deals on apparel, footwear, and more. Shop today and save!",1,1
We are excited to announce the upcoming parent-teacher meeting scheduled for next Friday. Please RSVP using the attached form.,0,0
"Hurry! Limited stock available for our top-selling products. Once they’re gone, they’re gone! Order now and ensure you don’t miss out on these incredible offers.",1,1
We’re excited to share the latest updates to our product. Check out the improvements and new features by logging into your account.,0,0
Thank you for your hard work this month! Here’s a summary of our team’s performance and goals for next month. Let’s continue striving for excellence together.,0,0
Attached is your monthly statement for your account. Review it carefully and let us know if you have any questions. Secure your records by downloading the file today.,1,1
"Your application for the summer internship has been successfully received. Our team is reviewing it, and we’ll get back to you within two weeks with the next steps. Thank you for your interest in joining us!",0,0
"Stay safe while job hunting! Beware of fake offers asking for money, easy hiring promises, or personal details. Protect yourself: never share sensitive information, research recruiters, and report suspicious activities. Visit our Security Center for more tips!",1,1
This is a follow-up to our recent discussion about the proposal. We’d appreciate it if you could provide your input by the end of the week. Let us know if you need any additional details.,0,0
Enhance your skills with our online courses taught by industry experts. Learn in-demand skills with no prior experience required. Join now and take the first step toward a brighter career.,1,1
Join NVIDIA CEO Jensen Huang and SoftBank’s Masayoshi Son at the AI Summit Japan! Discover how AI and accelerated computing are transforming industries in this special address and fireside chat. Don't miss it—add to your calendar now!,1,1
Just a reminder about the scheduled coffee catch-up tomorrow at 10 AM. Let me know if you need to reschedule. Looking forward to catching up!,0,0
"Flash Sale Alert! Don’t miss out on up to 80% off electronics, including smartphones, laptops, and gadgets. Deals end at midnight—click here to shop now and save big!",1,1